               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  95,           0.0092856,           0.0075088,                   0,             0.99998,                   1,               0.995,             0.82974,           0.0057756,           0.0034736,                   0,            0.002245,            0.002245,            0.002245
                  96,            0.010267,           0.0076774,                   0,             0.99998,                   1,               0.995,             0.83484,            0.005641,           0.0034895,                   0,           0.0021625,           0.0021625,           0.0021625
                  97,            0.010704,           0.0071965,                   0,             0.99998,                   1,               0.995,             0.83073,           0.0056535,           0.0035348,                   0,             0.00208,             0.00208,             0.00208
                  98,           0.0097549,           0.0077282,                   0,             0.99998,                   1,               0.995,             0.83162,           0.0057107,           0.0035128,                   0,           0.0019975,           0.0019975,           0.0019975
                  99,           0.0085684,           0.0071463,                   0,             0.99999,                   1,               0.995,             0.83607,           0.0059204,           0.0034619,                   0,            0.001915,            0.001915,            0.001915
                 100,           0.0082033,            0.006621,                   0,             0.99999,                   1,               0.995,             0.83267,           0.0058371,           0.0034924,                   0,           0.0018325,           0.0018325,           0.0018325
                 101,           0.0078101,           0.0069869,                   0,             0.99998,                   1,               0.995,             0.83056,           0.0058115,            0.003602,                   0,             0.00175,             0.00175,             0.00175
                 102,           0.0084353,           0.0075476,                   0,             0.99998,                   1,               0.995,             0.83021,           0.0057732,           0.0036835,                   0,           0.0016675,           0.0016675,           0.0016675
                 103,           0.0087133,           0.0071804,                   0,             0.99998,                   1,               0.995,             0.82818,           0.0059611,           0.0037003,                   0,            0.001585,            0.001585,            0.001585
                 104,            0.010164,           0.0075313,                   0,             0.99999,                   1,               0.995,             0.83351,           0.0057429,           0.0036303,                   0,           0.0015025,           0.0015025,           0.0015025
                 105,           0.0083937,           0.0070281,                   0,             0.99998,                   1,               0.995,             0.84381,           0.0056445,           0.0036443,                   0,             0.00142,             0.00142,             0.00142
                 106,            0.010419,           0.0069984,                   0,             0.99998,                   1,               0.995,             0.85132,           0.0057401,           0.0035945,                   0,           0.0013375,           0.0013375,           0.0013375
                 107,           0.0093221,           0.0078781,                   0,             0.99998,                   1,               0.995,             0.85267,            0.005783,           0.0035926,                   0,            0.001255,            0.001255,            0.001255
                 108,            0.008014,            0.007232,                   0,             0.99998,                   1,               0.995,             0.84763,           0.0058999,            0.003591,                   0,           0.0011725,           0.0011725,           0.0011725
                 109,           0.0094489,           0.0069846,                   0,             0.99999,                   1,               0.995,             0.83433,           0.0058471,           0.0036348,                   0,             0.00109,             0.00109,             0.00109
                 110,           0.0082824,           0.0071174,                   0,             0.99998,                   1,               0.995,             0.83719,           0.0058762,           0.0037103,                   0,           0.0010075,           0.0010075,           0.0010075
                 111,           0.0082264,           0.0067024,                   0,             0.99999,                   1,               0.995,             0.83188,           0.0059803,           0.0037477,                   0,            0.000925,            0.000925,            0.000925
                 112,           0.0085996,           0.0064609,                   0,             0.99998,                   1,               0.995,             0.82916,           0.0060172,           0.0037482,                   0,           0.0008425,           0.0008425,           0.0008425
                 113,           0.0085886,           0.0065811,                   0,             0.99999,                   1,               0.995,             0.82566,           0.0061272,            0.003744,                   0,             0.00076,             0.00076,             0.00076
                 114,           0.0085655,           0.0071694,                   0,                   1,                   1,               0.995,             0.82512,            0.006193,           0.0037471,                   0,           0.0006775,           0.0006775,           0.0006775
                 115,            0.009271,           0.0072814,                   0,             0.99998,                   1,               0.995,             0.82047,           0.0061452,           0.0037678,                   0,            0.000595,            0.000595,            0.000595
                 116,           0.0075562,           0.0066117,                   0,             0.99999,                   1,               0.995,             0.82094,           0.0060493,            0.003788,                   0,           0.0005125,           0.0005125,           0.0005125
                 117,            0.010161,           0.0065197,                   0,                   1,                   1,               0.995,             0.82358,           0.0060491,           0.0037619,                   0,             0.00043,             0.00043,             0.00043
                 118,             0.01048,           0.0074178,                   0,             0.99998,                   1,               0.995,             0.81973,           0.0060439,           0.0037279,                   0,           0.0003475,           0.0003475,           0.0003475
                 119,           0.0073255,           0.0062625,                   0,                   1,                   1,               0.995,             0.82259,           0.0059763,           0.0036987,                   0,            0.000265,            0.000265,            0.000265
